Dataset ,Classifier,Cost Function,M ,Train/Test, Hamming-Loss, Accuracy, Execution Time
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.30769230769230776,0.18461538461538463,0.81900
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.032947462154942125,0.7853962600178095,368.26400
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.08364174685418234,0.5267702936096719,368.26400
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.023017902813299237,0.8772378516624041,28.06300
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.26155115511551147,0.13366336633663367,28.06300
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.015010351966873704,0.9130434782608696,8.49200
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.06449948400412797,0.6718266253869969,8.49200
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.009111111111111103,0.948,3.14900
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.29480189022173797,0.26281352235550703,3.14900
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.0026149187998898973,0.9843104872006606,1.94700
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.10381828316610943,0.5275919732441472,1.94700
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,4.2900042900042895E-4,0.996996996996997,1.40600
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.03366555924695454,0.7643410852713178,1.40600
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.0,1.0,1.04500
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.0,1.0,1.04500
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.015503875968992244,0.8992248062015504,0.06400
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.28571428571428575,0.12307692307692308,0.06400
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.00610609337234449,0.9599287622439893,4.09600
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.06365655070318282,0.6113989637305699,4.09600
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,0.006393861892583119,0.9616368286445013,0.34200
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.22524752475247523,0.24257425742574257,0.34200
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Train,5.175983436853001E-4,0.9968944099378882,0.21600
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,1,Test,0.03560371517027863,0.8111455108359134,0.21600
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.00588888888888889,0.9666666666666667,6.95600
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.2871683024354784,0.2813522355507089,6.95600
